duplicate_group_id,representative,group_size,members,sha256
batch2-exact-01,docvqa_1e4095752ef28a82.png,1,docvqa_1e4095752ef28a82.png,591e33fae919f97601faa561da1cf88c4285603b202d90c32917e43a2b7c3f62
batch2-exact-02,docvqa_1e4346b310ff5415.png,3,docvqa_1e4346b310ff5415.png;docvqa_2032f9ea62254d3b.png;docvqa_3edf3964eeb54e75.png,e730aa11101a0fc25cd66488a9eaaf918da3c5473d4532e9fa54ecdc9209100b
batch2-exact-03,docvqa_1f1a68084f41940a.png,1,docvqa_1f1a68084f41940a.png,2ad81fbd06d92fd1aa1002949ce14511e349876a378cae91a4522ee2e9ca89a3
batch2-exact-04,docvqa_207bd1e223307ba6.png,2,docvqa_207bd1e223307ba6.png;docvqa_5c30703941531d96.png,bed9e19cb7517c55afbd9163dfbc997a27e81723b2708d744a573d80a48a6fe1
batch2-exact-05,docvqa_2564e63028039073.png,1,docvqa_2564e63028039073.png,af63d1828b676a4300cf86209ad9be643545e00b7f049e075620147f7b890a68
batch2-exact-06,docvqa_2594de3217d7478c.png,3,docvqa_2594de3217d7478c.png;docvqa_491c4e868e53fe2d.png;docvqa_5cd4d3c9186d9c68.png,1b63e1ed4ec2e7da7b64c20393c674105b43613798ede1eeba4c029752c29273
batch2-exact-07,docvqa_321ebde4ec0aa3e6.png,1,docvqa_321ebde4ec0aa3e6.png,b94537631214a13c1ffea3f851650ae396d0008ce4362bd007b71d45e730caaf
batch2-exact-08,docvqa_3717d1d2970205a2.png,2,docvqa_3717d1d2970205a2.png;docvqa_4a20ada40f0db240.png,9076a8e34496fb73522ad79f2a7589a8a83190671bc7f5cbc54c23c879ea309d
batch2-exact-09,docvqa_386f5e62fc5fa22f.png,2,docvqa_386f5e62fc5fa22f.png;docvqa_4dab7f68490852a6.png,ad8fb6f0821a3ab6ac35e735c3fd0c15b27212dd108511c4304243cc43adeed6
batch2-exact-10,docvqa_3e69015b39175e87.png,1,docvqa_3e69015b39175e87.png,69e4d8c7a7e19e3f036514ebc57cdaebefe23524c2336fa164caf6349fee9b70
batch2-exact-11,docvqa_404ce70b9d2c333f.png,1,docvqa_404ce70b9d2c333f.png,24a7bfc38098e91bc0f1ecd640797aceb7c8ff570367f5d5a6537a751e5de51d
batch2-exact-12,docvqa_42b812fca2de2f23.png,1,docvqa_42b812fca2de2f23.png,4df1ae84022a34264362853640c9bf0921a86dd8b19eab58cf2097f7a86ae948
batch2-exact-13,docvqa_55db519ade867e34.png,1,docvqa_55db519ade867e34.png,703331fd895f3aeca993c92259da3bb0544a776ee8fc4cb0728fe9740578b360
