slice_type,slice_name,slice,count,exact_match,answer_in_output,anls,anls_applicable_count,relaxed_numeric,relaxed_numeric_applicable_count,not_found_false_answer_rate,not_found_applicable_count,avg_latency_s,error_rate
overall,overall,overall,120,0.525,0.5417,0.4581,51,0.7347,49,0.4,20,0.3719,0.0
capability,chart_numeric,chart_numeric,20,0.5,0.5,0.0,4,0.625,16,,0,0.4104,0.0
capability,domain_terms,domain_terms,20,0.55,0.45,0.6528,11,0.7778,9,,0,0.3713,0.0
capability,layout_binding,layout_binding,20,0.45,0.5,0.4507,19,1.0,1,,0,0.3815,0.0
capability,not_found,not_found,20,0.6,0.6,,0,,0,0.4,20,0.3763,0.0
capability,ocr_exact,ocr_exact,20,0.35,0.45,0.4545,11,0.5556,9,,0,0.3477,0.0
capability,table_lookup,table_lookup,20,0.7,0.75,0.4362,6,0.9286,14,,0,0.344,0.0
answer_type,abstain,abstain,20,0.6,0.6,,0,,0,0.4,20,0.3763,0.0
answer_type,code,code,11,0.3636,0.1818,0.6528,11,,0,,0,0.3836,0.0
answer_type,currency,currency,3,0.6667,0.6667,,0,0.6667,3,,0,0.3583,0.0
answer_type,float,float,7,0.2857,0.2857,,0,0.7143,7,,0,0.3928,0.0
answer_type,integer,integer,23,0.8261,0.8261,,0,0.8261,23,,0,0.3226,0.0
answer_type,number,number,16,0.625,0.625,,0,0.625,16,,0,0.4433,0.0
answer_type,short_text,short_text,40,0.35,0.45,0.4045,40,,0,,0,0.3635,0.0
