slice_type,slice_name,slice,count,exact_match,answer_in_output,anls,anls_applicable_count,relaxed_numeric,relaxed_numeric_applicable_count,not_found_false_answer_rate,not_found_applicable_count,avg_latency_s,error_rate
overall,overall,overall,120,0.3667,0.475,0.5874,51,0.7143,49,1.0,20,0.4464,0.0
capability,chart_numeric,chart_numeric,20,0.3,0.3,0.0,4,0.4375,16,,0,0.4491,0.0
capability,domain_terms,domain_terms,20,0.75,0.45,0.6932,11,0.8889,9,,0,0.444,0.0
capability,layout_binding,layout_binding,20,0.05,0.55,0.5616,19,1.0,1,,0,0.4943,0.0
capability,not_found,not_found,20,0.0,0.0,,0,,0,1.0,20,0.4977,0.0
capability,ocr_exact,ocr_exact,20,0.35,0.65,0.6016,11,0.7778,9,,0,0.3887,0.0
capability,table_lookup,table_lookup,20,0.75,0.9,0.8408,6,0.8571,14,,0,0.4049,0.0
answer_type,abstain,abstain,20,0.0,0.0,,0,,0,1.0,20,0.4977,0.0
answer_type,code,code,11,0.6364,0.0909,0.6932,11,,0,,0,0.4376,0.0
answer_type,currency,currency,3,1.0,1.0,,0,1.0,3,,0,0.4556,0.0
answer_type,float,float,7,0.5714,0.5714,,0,0.7143,7,,0,0.4463,0.0
answer_type,integer,integer,23,0.8696,0.8696,,0,0.8696,23,,0,0.3975,0.0
answer_type,number,number,16,0.375,0.375,,0,0.4375,16,,0,0.4902,0.0
answer_type,short_text,short_text,40,0.1,0.575,0.5583,40,,0,,0,0.4333,0.0
