slice_type,slice_name,slice,count,exact_match,answer_in_output,anls,anls_applicable_count,relaxed_numeric,relaxed_numeric_applicable_count,not_found_false_answer_rate,not_found_applicable_count,avg_latency_s,error_rate
overall,overall,overall,120,0.425,0.5,0.5334,51,0.7347,49,1.0,20,0.4794,0.0
capability,chart_numeric,chart_numeric,20,0.35,0.4,0.1667,4,0.4375,16,,0,0.6465,0.0
capability,domain_terms,domain_terms,20,0.8,0.5,0.7112,11,1.0,9,,0,0.4488,0.0
capability,layout_binding,layout_binding,20,0.2,0.55,0.4748,19,1.0,1,,0,0.5085,0.0
capability,not_found,not_found,20,0.0,0.0,,0,,0,1.0,20,0.4197,0.0
capability,ocr_exact,ocr_exact,20,0.4,0.7,0.4309,11,0.7778,9,,0,0.4334,0.0
capability,table_lookup,table_lookup,20,0.8,0.85,0.8254,6,0.8571,14,,0,0.4191,0.0
answer_type,abstain,abstain,20,0.0,0.0,,0,,0,1.0,20,0.4197,0.0
answer_type,code,code,11,0.6364,0.0909,0.7112,11,,0,,0,0.4831,0.0
answer_type,currency,currency,3,0.6667,0.6667,,0,0.6667,3,,0,0.6103,0.0
answer_type,float,float,7,0.7143,0.7143,,0,0.7143,7,,0,0.4657,0.0
answer_type,integer,integer,23,0.9565,0.9565,,0,0.9565,23,,0,0.3708,0.0
answer_type,number,number,16,0.4375,0.4375,,0,0.4375,16,,0,0.7342,0.0
answer_type,short_text,short_text,40,0.2,0.575,0.4845,40,,0,,0,0.4612,0.0
